Country Code,Country Name,SL.UEM.TOTL.ZS,SP.POP.TOTL,NE.CON.PRVT.ZS,IT.NET.USER.ZS,SE.XPD.TOTL.GD.ZS,SP.URB.TOTL.IN.ZS,SH.XPD.CHEX.PC.CD,SI.POV.GINI,NY.GDP.PCAP.CD,SE.ADT.LITR.ZS,FP.CPI.TOTL.ZG,Avg Years Schooling,Region,IncomeGroup,v2x_partipdem,v2x_rule,v2x_jucon,v2xlg_legcon,v2x_corr,v2mecenefi,v2xeg_eqaccess,v2xeg_eqdr,v2xeg_eqprotec,v2clsocgrp,v2dlconslt,v2dlengage,v2eldonate,v2elpubfin,v2elrstrct,v2psplats
AFG,Afghanistan,11.21180000305176,35764094.2,,13.431999999999999,3.8476766666666666,25.264400000000002,66.68103256399999,,520.2122885050742,33.7538414001465,2.3253311920601853,3.85,South Asia,Low income,0.1372,0.1538,0.219,0.618,0.9004,0.11620000000000001,0.4486,0.2842,0.512,-0.40659999999999996,1.1092,1.3446,0.6834,-0.9405999999999999,1.0,0.0782
AGO,Angola,7.105800056457518,30249698.8,54.45013443760625,26.46,,64.825,92.588410948,51.3,2437.512473789024,66.2358627319336,21.32095185023355,,Sub-Saharan Africa,Lower middle income,0.08,0.23120000000000002,0.21739999999999998,0.1478,0.7352000000000001,0.7554000000000001,0.41419999999999996,0.18460000000000001,0.08180000000000001,0.144,-0.47840000000000005,-0.9347999999999999,-0.5801999999999999,0.8208,1.0,-0.025200000000000007
ALB,Albania,14.14420013427736,2870165.6,78.25686875784939,62.58,3.670593333333333,59.3572,308.08902588,31.96,4686.761750860935,98.8162307739258,1.7267280049196079,9.93,Europe & Central Asia,Upper middle income,0.3182,0.5484,0.7108,0.826,0.7448,1.3972,0.6477999999999999,0.7444,0.664,1.834,-0.148,0.6302,0.6444,0.925,1.0,1.0168
ARE,United Arab Emirates,2.11720004081726,9091208.6,40.26410727582524,94.72,,86.23960000000001,1720.534228516,26.4,43428.66038839012,98.0,1.7583664791089142,9.07,Middle East & North Africa,High income,0.030199999999999998,0.7083999999999999,0.2048,0.133,0.11600000000000002,-1.6898,0.2178,0.8720000000000001,0.348,-0.679,0.236,-0.40099999999999997,0.458,-1.249,1.0,-2.645
ARG,Argentina,8.616600036621094,44258913.2,66.79301414480558,74.17999999999999,5.59461,91.748,1295.307727052,42.175,12524.172884364856,,,9.51,Latin America & Caribbean,Upper middle income,0.5152,0.6312,0.7253999999999999,0.7984,0.4391999999999999,1.672,0.8597999999999999,0.7295999999999999,0.7392,1.2756,0.7964,1.8565999999999998,1.5278,2.4596,1.0,1.128
ARM,Armenia,17.61380004882814,2981560.0,79.49796981012545,64.56,2.757206666666667,63.12760000000001,419.38969116400006,32.58,3939.8213014409703,100.0,1.4522634660294855,10.73,Europe & Central Asia,Upper middle income,0.31379999999999997,0.43979999999999997,0.40800000000000003,0.48340000000000005,0.6292,1.8565999999999998,0.6128,0.8634000000000001,0.7752,1.9692,0.2874,1.4806000000000001,1.6144000000000003,-0.4284,0.0,1.0726
AUS,Australia,5.584200000762938,24579514.8,55.604032810691635,88.24,5.237433333333333,85.9082,5571.6464843779995,34.0,54539.581205013965,,1.6512347786876842,11.54,East Asia & Pacific,High income,0.6108,0.9896,0.9847999999999999,0.962,0.033600000000000005,1.309,0.8368,0.8654,0.9374,1.3986,2.2236000000000002,2.5236,2.655,1.335,1.0,2.86
AUT,Austria,5.351599979400632,8779474.8,52.4650735895121,86.28,5.43299,58.1052,4972.445800781999,30.4,47444.10794200814,,1.4797399315186783,9.6,Europe & Central Asia,High income,0.6418,0.962,0.907,0.9414,0.0538,1.8611999999999997,0.8022,0.9378,0.9490000000000001,2.5058,2.0372,2.1302,1.3698000000000001,2.594,1.0,2.5704000000000002
AZE,Azerbaijan,5.073799991607666,9845048.0,56.92645944903768,79.02000000000001,2.696085,55.3578,190.452996826,,4614.787009258166,100.0,6.85721954926602,,Europe & Central Asia,Upper middle income,0.0628,0.0338,0.0126,0.0654,0.9391999999999999,-0.3896,0.2156,0.2264,0.679,1.3936,-0.783,-1.7823999999999998,-1.0068000000000001,-0.9096,1.0,-1.4878
BDI,Burundi,1.488400006294252,11581715.0,76.90002802144565,3.3920000000000003,5.2258025,12.714,19.27227783,,237.6166792425512,66.84386825561525,4.730688716432926,3.35,Sub-Saharan Africa,Low income,0.1462,0.0516,0.06659999999999999,0.1646,0.931,0.057800000000000004,0.49879999999999997,0.19419999999999998,0.3366,0.6115999999999999,-1.0936,-1.076,-0.1722,-0.563,1.0,-1.3796
BEL,Belgium,6.987000083923339,11379362.0,51.542341696515095,87.64,6.44113,97.9596,4795.723925782,27.419999999999998,44197.50221786474,,1.630247445592819,10.69,Europe & Central Asia,High income,0.6482,0.9783999999999999,0.9292,0.9164,0.031,2.049,0.9234,0.951,0.961,2.859,2.3956,1.7058,3.35,3.63,1.0,2.983
BEN,Benin,2.439200019836426,12041681.0,71.98335758434544,16.8,3.13541,46.773,29.066653444000004,42.75,1070.0978337811339,38.871208190918,0.22415214447760193,4.43,Sub-Saharan Africa,Lower middle income,0.41340000000000005,0.701,0.6692,0.7718,0.397,1.6198000000000001,0.834,0.6208,0.8278000000000001,2.0108,0.7646,1.8204,1.2862,-0.1828,1.0,-0.5842
BFA,Burkina Faso,6.267199993133544,19881398.0,66.55186965705882,7.85,4.885783333333333,28.749000000000002,38.95440445,43.0,709.0554695557773,34.5,0.27428661752691974,,Sub-Saharan Africa,Low income,0.3694,0.7101999999999999,0.6918,0.609,0.4082,0.866,0.7051999999999999,0.2818,0.8064,2.3899999999999997,1.7120000000000002,1.7792000000000001,1.0586,0.7228,1.0,-0.522
BGD,Bangladesh,4.314200019836425,162163483.2,68.1361458572905,21.7,1.43093,35.8572,41.46453476000001,32.4,1755.9590397629702,72.0,5.709098781624646,5.91,South Asia,Lower middle income,0.11299999999999999,0.12279999999999999,0.1956,0.11520000000000001,0.8938,-1.32,0.3992,0.1618,0.173,0.6396,-0.2186,0.2656,-0.9427999999999999,-2.511,1.0,0.5716
BGR,Bulgaria,6.486599922180176,7076511.6,60.366503919870055,62.52,4.0925,74.6686,619.223291016,40.239999999999995,8461.28374258757,,1.415317446637083,11.24,Europe & Central Asia,High income,0.46180000000000004,0.6826,0.8464,0.8379999999999999,0.5336000000000001,1.999,0.8064,0.741,0.73,0.93,2.0172,1.7082000000000002,1.8044,1.3123999999999998,1.0,2.5172
BHR,Bahrain,0.8227999925613408,1456402.2,40.75067922252312,97.14,2.4979449999999996,89.19120000000001,1075.275439454,,25180.59528425644,,1.823125726605084,7.06,Middle East & North Africa,High income,0.0332,0.1758,0.071,0.0568,0.5538000000000001,-0.6986000000000001,0.08259999999999999,0.763,0.2678,-1.802,-0.908,-1.365,-0.2544,-0.513,0.0,-1.6301999999999999
BIH,Bosnia and Herzegovina,22.090800094604482,3430551.8,75.56708829343644,63.56,,47.8876,485.78170166,,5421.213281000988,,0.03398011638796981,,Europe & Central Asia,Upper middle income,0.3148,0.4404,0.6172,0.3972,0.704,1.9274,0.679,0.7034,0.6048,0.694,0.8135999999999999,1.1856,0.9189999999999999,1.8102,1.0,1.4928000000000001
BLR,Belarus,5.351800060272218,9449597.4,53.87198271028118,73.92,4.84302,78.123,347.98307495200004,25.36,5998.03991386277,100.0,8.374673187601301,,Europe & Central Asia,Upper middle income,0.0968,0.2738,0.0372,0.053000000000000005,0.3346,-0.2434,0.8337999999999999,0.8848,0.764,1.4628,-0.9562000000000002,-0.8475999999999999,1.9940000000000002,-0.8,1.0,1.4128
BOL,Bolivia,3.458599996566774,11343813.2,68.0877243237222,42.56,,69.0818,218.165820316,44.14,3268.562364038006,92.0,2.923437541292268,8.25,Latin America & Caribbean,Lower middle income,0.4356,0.3894,0.37279999999999996,0.3874,0.6622,0.9395999999999999,0.8109999999999999,0.3802,0.6838,1.2570000000000001,0.7682,1.4576,-0.1492,0.1058,1.0,1.2728
BRA,Brazil,11.453199958801275,204631962.2,64.49414111516683,66.2,6.292549999999999,86.3028,861.911962892,53.2,9236.697468500486,92.75,5.722648878743642,7.89,Latin America & Caribbean,Upper middle income,0.5147999999999999,0.7212,0.8746,0.8295999999999999,0.5318,1.2402,0.6355999999999999,0.4822,0.539,0.5096,1.4518,1.5734,2.8716,2.0094000000000003,1.0,1.6312000000000002
BRB,Barbados,10.109400177001955,280135.4,,72.62,4.658885,31.1812,1171.04968262,,19670.500294609163,,2.520685318864372,9.45,Latin America & Caribbean,High income,0.3378,0.9096,0.9232000000000001,0.7272000000000001,0.1,1.815,0.7848,0.9526,0.7283999999999999,1.009,1.9796,1.5268000000000002,0.5714,-0.8892,1.0,2.415
BTN,Bhutan,2.373799991607666,753480.4,48.6068651645068,55.660000000000004,7.1650025,40.156,103.132458496,37.4,3303.744392213558,67.0,3.6347017500711942,,South Asia,Lower middle income,0.366,0.9152000000000001,0.9012,0.8301999999999999,0.1052,-0.7055999999999999,0.794,0.9349999999999999,0.7932,1.2782,1.72,1.3376,2.6492,1.3006,1.0,1.7280000000000002
BWA,Botswana,17.691400146484362,2267204.0,43.291690340127296,48.62,,68.6812,424.176953128,53.3,6915.05537355094,,3.039230079043514,9.55,Sub-Saharan Africa,Upper middle income,0.4192,0.8728,0.8333999999999999,0.8497999999999999,0.1424,1.4902,0.5936,0.7076,0.7112,0.8725999999999999,1.9846,1.0894,-0.9038,-2.505,0.0,1.4824
CAF,Central African Republic,3.7534000396728517,4791970.8,87.83752221469445,4.522,,41.0018,31.090238569999997,,418.05910270573503,39.7213954925537,2.965331334745886,3.76,Sub-Saharan Africa,Low income,0.16319999999999998,0.23479999999999998,0.4032,0.7183999999999999,0.7714000000000001,1.4166,0.7112,0.16720000000000002,0.3184,0.22400000000000003,0.6906,0.043199999999999995,-0.9650000000000001,-0.9623999999999999,0.0,-0.0364
CAN,Canada,6.328000068664553,36610298.2,57.98220018489794,92.08,,81.3604,4875.0798828120005,32.78,44785.98586088916,,1.6736759466160702,12.32,North America,High income,0.5776,0.9818,0.9314,0.8904,0.021400000000000002,1.8632000000000002,0.8592000000000001,0.8817999999999999,0.7706000000000001,1.2032,2.1928,1.8077999999999999,2.776,1.3878,1.0,2.28
CHE,Switzerland,4.7619999885559094,8439436.6,52.79394605346782,90.24,5.11183,73.7728,9439.376757814,33.019999999999996,83510.63985076363,,0.05089642946248181,13.02,Europe & Central Asia,High income,0.8046000000000001,0.9948,0.9869999999999999,0.9349999999999999,0.0212,2.184,0.8960000000000001,0.9650000000000001,0.9559999999999998,2.465,3.499,3.5159999999999996,-2.125,-2.05,1.0,2.68
CHL,Chile,6.9053999900817855,18592929.8,61.94847346747978,82.47999999999999,5.21226,87.4958,1284.683251952,45.3,14423.77571127626,96.5,3.06202402607013,9.78,Latin America & Caribbean,High income,0.5814,0.9474,0.9426,0.9788,0.07139999999999999,2.0128,0.7343999999999999,0.6072,0.8221999999999999,1.298,1.9692,1.9994,2.0168,1.4422000000000001,1.0,2.6104
CHN,China,4.44020004272461,1394874000.0,38.55213489424536,56.220000000000006,,57.931200000000004,454.86280517800003,38.58,8995.429594840973,,2.0008372390456737,7.95,East Asia & Pacific,Upper middle income,0.038,0.259,0.0856,0.1308,0.47640000000000005,-1.9964,0.2966,0.4042,0.328,-1.6911999999999998,0.5264,0.404,-1.8923999999999999,-1.4058,1.0,-1.6002000000000003
CIV,Ivory Coast,3.10019998550415,26725260.2,66.26822551969428,39.44,3.6314975,50.333800000000004,63.65050811799999,39.35,1982.8496761178117,70.0198402404785,0.3826209324142774,4.65,Sub-Saharan Africa,Lower middle income,0.3494,0.5534,0.5244,0.438,0.524,1.6216000000000002,0.7074,0.3614,0.672,1.2212,1.7872,1.621,0.7308,0.5317999999999999,1.0,-0.1226
CMR,Cameroon,3.425800037384034,24131730.8,71.90600502104266,25.660000000000004,2.9270750000000003,55.775200000000005,57.64930114599999,,1503.74656161237,72.5471267700195,1.542499020225265,6.15,Sub-Saharan Africa,Lower middle income,0.1244,0.0844,0.13679999999999998,0.20600000000000002,0.944,-1.0798,0.3938,0.3752,0.6981999999999999,1.1326,-0.8455999999999999,0.9712,-0.25220000000000004,0.6508,0.0,0.5666
COD,Democratic Republic of the Congo,4.292999935150147,87014086.0,77.33770130594648,10.144,1.9146933333333334,43.8866,18.505863952,,486.42195369146555,75.27651596069336,1.815025033840675,3.66,Sub-Saharan Africa,Low income,0.21000000000000002,0.079,0.21400000000000002,0.24159999999999998,0.9578,-1.5398,0.5831999999999999,0.177,0.546,1.0606,0.24219999999999997,-0.3614,-0.07139999999999999,-1.2038,1.0,-0.56
COG,Republic of the Congo,9.734999847412109,5354181.4,38.58880595186912,8.13,4.512523333333333,66.45840000000001,53.926805116000004,,2385.390215507358,,2.0337151219204093,5.94,Sub-Saharan Africa,Lower middle income,0.166,0.1518,0.1538,0.30979999999999996,0.8291999999999999,-1.845,0.33840000000000003,0.3136,0.153,-0.5058,-0.154,0.42800000000000005,-0.2676,-0.69,1.0,-0.093
COL,Colombia,8.936199951171876,48294196.0,68.56679517430914,61.08,4.48515,80.44,487.96854858200004,50.6,6395.480670857528,94.75,4.716238663688464,8.95,Latin America & Caribbean,Upper middle income,0.47640000000000005,0.7564,0.8283999999999999,0.8286,0.3922,1.5386,0.6285999999999999,0.38380000000000003,0.58,0.181,1.215,1.5455999999999999,1.672,1.9074000000000002,1.0,1.315
COM,Comoros,4.391199970245362,756652.0,92.7980816846361,10.07,2.54506,28.800400000000003,70.567128754,,1435.750901304094,,,,Sub-Saharan Africa,Lower middle income,0.2576,0.2642,0.32,0.308,0.7426,1.0612,0.7343999999999999,0.4098,0.698,1.4696,0.5054000000000001,0.48919999999999997,-1.2854,-1.8820000000000001,0.0,0.7944
CPV,Cape Verde,12.13479995727538,513072.0,66.02856334919127,54.32000000000001,5.245816666666666,65.2544,178.532061768,42.4,3918.574150389292,87.0,0.3742898578149078,,Sub-Saharan Africa,Lower middle income,0.47640000000000005,0.8513999999999999,0.9176,0.9056000000000001,0.2048,2.192,0.8309999999999998,0.7178,0.8305999999999999,2.214,0.9949999999999999,0.9865999999999999,1.454,1.7858,1.0,1.118
CRI,Costa Rica,9.444999885559076,4911116.8,64.66596173123932,70.4,7.104653999999999,78.5146,897.9238281219999,48.32,12319.553281835859,,1.3455142105940001,7.97,Latin America & Caribbean,Upper middle income,0.666,0.9410000000000001,0.954,0.9565999999999999,0.19119999999999998,2.221,0.8936,0.9148,0.921,2.388,2.2922000000000002,2.0911999999999997,3.021,2.233,1.0,2.3162
CUB,Cuba,1.887600040435792,11243694.0,55.63640595191796,53.620000000000005,,76.9898,995.0237426740001,,8518.56204520154,97.6549072265625,,10.16,Latin America & Caribbean,Upper middle income,0.056400000000000006,0.1452,0.10900000000000001,0.08,0.5724,-2.4234,0.806,0.8412,0.7294,1.3544,-0.312,-1.2988,-1.8969999999999998,0.612,1.0,-1.421
CYP,Cyprus,10.91079998016357,1253659.4,65.23130882246154,79.76,6.095783333333333,66.85560000000001,1826.564794924,32.44,26840.482421875,,-0.26170713378944,11.07,Europe & Central Asia,High income,0.5706,0.897,0.861,0.7974,0.14579999999999999,2.03,0.8416,0.9362,0.8952,2.0544000000000002,2.2122,1.5508,1.7962,2.291,1.0,2.289
CZE,Czechia,3.212600016593934,10601725.4,46.69697066915196,78.5,5.07675,73.687,1551.340844728,25.3,21073.48341071252,,1.6881547302315016,12.8,Europe & Central Asia,High income,0.5604,0.8638,0.8720000000000001,0.8572,0.21739999999999998,1.7399999999999998,0.835,0.9591999999999998,0.9443999999999999,1.6158000000000001,1.6762000000000001,1.4991999999999999,2.4335999999999998,1.9258,1.0,2.1916
DEU,Germany,3.7838000774383516,82538205.2,51.39009262350004,86.26,4.860106666666667,77.27459999999999,5087.139843752,31.619999999999997,45379.474348732896,,1.1386993126437719,12.37,Europe & Central Asia,High income,0.6406000000000001,0.9924,0.9321999999999999,0.9800000000000001,0.0124,1.315,0.946,0.9474,0.96,3.5,3.66,2.751,2.739,3.345,1.0,3.4769999999999994
DJI,Djibouti,10.40559997558592,1054679.6,62.75296106145546,45.0,3.7227325,77.65700000000001,69.95114745999999,41.6,2612.153424521418,,1.1852718094831476,,Middle East & North Africa,Lower middle income,0.135,0.30619999999999997,0.24020000000000002,0.126,0.6888,-1.8684,0.4908,0.304,0.549,0.635,-0.3218,0.27,-0.377,-1.38,0.0,0.5616
DNK,Denmark,5.5960000991821275,5756906.2,46.95629379714626,97.14,7.81608,87.7586,5856.355957032,28.2,57169.10474606608,,0.6841814726469754,11.3,Europe & Central Asia,High income,0.7093999999999999,0.9984,0.9865999999999999,0.9810000000000001,0.002,2.114,0.9666,0.983,0.978,2.069,2.974,2.69,1.832,3.2079999999999997,1.0,3.286
DOM,Dominican Republic,6.460799884796144,10665839.6,69.39123126184697,68.03999999999999,,80.23620000000001,332.184509278,43.74,7518.7301661136835,93.0,2.2211014793053834,7.78,Latin America & Caribbean,Upper middle income,0.3472,0.32199999999999995,0.4018,0.1312,0.776,2.042,0.6306,0.2476,0.41719999999999996,-0.8188000000000001,0.7742,1.532,-1.0694,1.9132000000000002,1.0,0.4888
DZA,Algeria,11.3980001449585,41671826.0,41.51100788904176,46.72,,72.03540000000001,269.36861267,,4542.075113557066,81.4078369140625,4.599003226888572,6.68,Middle East & North Africa,Upper middle income,0.10840000000000001,0.25179999999999997,0.14200000000000002,0.3184,0.6548,-0.32700000000000007,0.5864,0.7642,0.7061999999999999,1.0576,0.6086,0.5926,0.6174000000000001,1.228,1.0,0.723
ECU,Ecuador,3.90939998626709,16784090.2,63.44485522711487,55.1,4.9987,63.681799999999996,472.10198364199994,45.36,6127.219272258132,93.66666666666667,1.2308311447852676,7.6,Latin America & Caribbean,Upper middle income,0.3982,0.4266,0.3318,0.4368,0.6606,-0.6946000000000001,0.7647999999999999,0.5997999999999999,0.5916,0.7538,0.47619999999999996,1.3922,1.1658000000000002,1.4156,1.0,1.3862
EGY,Egypt,11.90960006713868,103634648.0,83.07710399943188,45.64,,42.7312,135.91763610799998,31.733333333333334,2884.081156098226,71.0,15.448994065268028,7.15,Middle East & North Africa,Lower middle income,0.061,0.35459999999999997,0.6146,0.20375,0.7352000000000001,-1.1036000000000001,0.38039999999999996,0.20579999999999998,0.188,0.5446,-0.35259999999999997,-0.4024,0.8722,-1.418,1.0,-0.4944
ERI,Eritrea,5.212799930572508,3162709.0,,4.252,,39.455200000000005,27.088407898000003,,,76.5705184936523,,,Sub-Saharan Africa,Low income,0.009,0.0548,0.0134,0.049,0.697,-2.4428,0.409,0.7186,0.5778000000000001,-0.7138,-1.3694000000000002,-1.5884,-2.367,-2.337,1.0,-1.6911999999999998
ESP,Spain,17.62600002288818,46690944.2,57.66969814545894,84.14,4.24065,80.08160000000001,2541.45288086,35.14,28289.3580772504,98.0,0.7255225972813151,10.27,Europe & Central Asia,High income,0.6058,0.9736,0.9461999999999999,0.836,0.0484,1.9369999999999998,0.8722,0.8914,0.9372,2.1206,1.5338,2.2702,2.645,2.9783999999999997,1.0,3.3370000000000006
EST,Estonia,5.838000011444089,1319491.2,49.6670681217081,88.66,5.08359,68.72540000000001,1377.039794922,31.080000000000002,20975.88760711954,,1.7574361185200444,12.11,Europe & Central Asia,High income,0.6424000000000001,0.9843999999999999,0.9533999999999999,0.9618,0.028800000000000003,2.037,0.8644000000000001,0.9642,0.9040000000000001,1.435,2.2704,2.1482,3.0306,2.0762,1.0,2.7524
ETH,Ethiopia,2.12779998779297,109730662.6,67.71771193631984,15.36,4.73792,20.3184,24.239995192000002,35.0,728.0702247342674,49.63138389587405,11.305363158203955,,Sub-Saharan Africa,Low income,0.1116,0.3222,0.1704,0.1562,0.5683999999999999,-1.0648,0.49119999999999997,0.38739999999999997,0.6285999999999999,0.5269999999999999,0.3534,-0.1892,1.1518,0.9997999999999999,1.0,0.5008
FIN,Finland,8.158000087738035,5504035.8,53.88107942531794,88.02000000000001,6.7532733333333335,85.3306,4290.781640624,27.32,46021.809975146534,,0.6021371243596265,9.84,Europe & Central Asia,High income,0.6168,0.9924,0.9789999999999999,0.9666,0.013000000000000001,2.011,0.9376,0.922,0.9712,2.7288,2.744,2.249,2.877,2.4568,1.0,3.136
